no,id,title,default_title,url,watch_url,source_tabs,primary_tab,media_family,duration,duration_min,is_duration_under_60,view_count,topics,thumbnail_url
1,mkhX89LoEWo,"""요즘 우리 고양이 이상한데요…"" 싶을 때 꼭 보세요","Must-watch if you’re thinking, ""My cat has been acting strange lately...""",https://www.youtube.com/watch?v=mkhX89LoEWo,https://www.youtube.com/watch?v=mkhX89LoEWo,videos,videos,video,288.0,4.8,False,,기타/엔터테인먼트,https://i.ytimg.com/vi/mkhX89LoEWo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAhpuBP5YwNrFLb-T7aMb9T1bfaJg
2,k1m_EewHQ80,💩똥싸고 나면 우다다 뛰어다니는 고양이 특징,💩똥싸고 나면 우다다 뛰어다니는 고양이 특징,https://www.youtube.com/watch?v=k1m_EewHQ80,https://www.youtube.com/watch?v=k1m_EewHQ80,videos,videos,video,1352.0,22.53,False,,행동/감정,https://i.ytimg.com/vi/k1m_EewHQ80/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBYsZ6U3UugBN13CHWXasHSeFyaKg
3,G6tWUwAGnkU,우리 고양이가 편안하다는 증거,Signs That Your Cat Is Relaxed,https://www.youtube.com/watch?v=G6tWUwAGnkU,https://www.youtube.com/watch?v=G6tWUwAGnkU,videos,videos,video,287.0,4.78,False,,행동/감정,https://i.ytimg.com/vi/G6tWUwAGnkU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD_EvWMBkD12QRDZHuIxOQXV1jtag
4,HUrdSF2ob5w,다음 생엔 강아지 키울거예여...고양이만 10년 이상 키우다가 변절한 이유,I'm getting a dog in my next life... Why I'm switching sides after raising cats for over 10 years,https://www.youtube.com/watch?v=HUrdSF2ob5w,https://www.youtube.com/watch?v=HUrdSF2ob5w,videos,videos,video,3948.0,65.8,False,,기타/엔터테인먼트,https://i.ytimg.com/vi/HUrdSF2ob5w/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCetJBwHLnrWpacf2BvW697cuqg-A
5,aOtBpnJokLw,[어린이날 기념] 수의사도 어쩔수 없었던 캣초딩 시절 레전드 에피소드,"[Children's Day Special] A Legendary Episode from the ""Kitten Chaos"" Days That Even the Vet Could...",https://www.youtube.com/watch?v=aOtBpnJokLw,https://www.youtube.com/watch?v=aOtBpnJokLw,videos,videos,video,3196.0,53.27,False,,건강/진료,https://i.ytimg.com/vi/aOtBpnJokLw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD5a6m_3K-v9zMYg_Yaj8f8kZmCmw
6,VU8-78KuHSg,"미야옹철학관 OPEN 고양이 이름, 운명까지 바꿉니다",Meow Philosophy Center OPEN: We Change Your Cat's Name and Even Its Destiny,https://www.youtube.com/watch?v=VU8-78KuHSg,https://www.youtube.com/watch?v=VU8-78KuHSg,videos,videos,video,843.0,14.05,False,,서사/상담,https://i.ytimg.com/vi/VU8-78KuHSg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDbSuk5nnvkSJvGgB1eH2drAsthOg
7,E0gkq3Q_Me0,고양이 간식은 하루에 딱 이만큼만 먹이세요,Feed your cat exactly this much treats a day.,https://www.youtube.com/watch?v=E0gkq3Q_Me0,https://www.youtube.com/watch?v=E0gkq3Q_Me0,videos,videos,video,929.0,15.48,False,,생활/돌봄,https://i.ytimg.com/vi/E0gkq3Q_Me0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAvnx2BgUPu5i9VRVAJ9hvqtkz94g
8,3HddCDIGQ2Y,분노 공허 시기 질투만 남은 남의 《고양이 과시대회》,"Someone Else's ""Cat Show-off"" Left with Only Anger, Emptiness, Envy, and Jealousy",https://www.youtube.com/watch?v=3HddCDIGQ2Y,https://www.youtube.com/watch?v=3HddCDIGQ2Y,videos,videos,video,999.0,16.65,False,,기타/엔터테인먼트,https://i.ytimg.com/vi/3HddCDIGQ2Y/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBPH8PVhPSb7U7P1w0HgDyTf6WOyA
9,NYQ2k_DzKOg,고양이 발톱 이렇게 깎으면 트라우마 생깁니다,Trimming a cat's claws like this will cause trauma.,https://www.youtube.com/watch?v=NYQ2k_DzKOg,https://www.youtube.com/watch?v=NYQ2k_DzKOg,videos,videos,video,249.0,4.15,False,,건강/진료,https://i.ytimg.com/vi/NYQ2k_DzKOg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBKGOgViAop9EE-Ta9q3GQrb8BfeA
10,Pv6aPt5ll1k,외모 일황 고양이의 충격적인 실체ㅣ묘종백과 랙돌 편,"The Shocking Truth About the Appearance of the ""Emperor of the World"" Cat | Cat Breed Encyclopedi...",https://www.youtube.com/watch?v=Pv6aPt5ll1k,https://www.youtube.com/watch?v=Pv6aPt5ll1k,videos,videos,video,569.0,9.48,False,,품종/지식,https://i.ytimg.com/vi/Pv6aPt5ll1k/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCe1fSLzSvBe0apinsT8JsBEwmg6g
