no,id,title,default_title,url,watch_url,source_tabs,primary_tab,media_family,duration,duration_min,is_duration_under_60,view_count,topics,thumbnail_url
1,dWaInRL_Gas,집사야 손이 짜다,집사야 손이 짜다,https://www.youtube.com/watch?v=dWaInRL_Gas,https://www.youtube.com/watch?v=dWaInRL_Gas,videos,videos,video,22.0,0.37,True,,관계/윤리,https://i.ytimg.com/vi/dWaInRL_Gas/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBi2tR5kUMUuSVecbibTtfI1NuMJQ
2,Go_mCXoXv4M,don't go냄새 그거슨...👃🏻😨,don't go냄새 그거슨...👃🏻😨,https://www.youtube.com/watch?v=Go_mCXoXv4M,https://www.youtube.com/watch?v=Go_mCXoXv4M,videos,videos,video,16.0,0.27,True,,기타/엔터테인먼트,https://i.ytimg.com/vi/Go_mCXoXv4M/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgBzgWAApYDigIMCAAQARhjIGMoYzAP&rs=AOn4CLDEswMIAbwfC6hau_LiWj2o1J_pmw
3,-cepgyt2Bsc,술취한 아빠 마중나오는 고양이,술취한 아빠 마중나오는 고양이,https://www.youtube.com/watch?v=-cepgyt2Bsc,https://www.youtube.com/watch?v=-cepgyt2Bsc,videos,videos,video,46.0,0.77,True,,서사/상담,https://i.ytimg.com/vi/-cepgyt2Bsc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLALBEZZVawmstLuF325IWY5MBuPOg
4,r_yUs-JXP8o,죠리퐁인데 사료뺏어먹는줄 아는 고양이,죠리퐁인데 사료뺏어먹는줄 아는 고양이,https://www.youtube.com/watch?v=r_yUs-JXP8o,https://www.youtube.com/watch?v=r_yUs-JXP8o,videos,videos,video,56.0,0.93,True,,생활/돌봄,https://i.ytimg.com/vi/r_yUs-JXP8o/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDmHfiD1rDvJObhLpvgFq9cVTu0qQ
5,1ea07xC3yvI,귀여운 공격성,Cute Aggression,https://www.youtube.com/shorts/1ea07xC3yvI,https://www.youtube.com/watch?v=1ea07xC3yvI,shorts,shorts,shorts,,,,19000,행동/감정,https://i.ytimg.com/vi/1ea07xC3yvI/oardefault.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLDIOnNsKiAk5s1k4mCiTV-_ZDPRvg&usqp=CCk
6,0NZTweb1uc0,첫째가 좋아? 둘째가 좋아?,"Who do you prefer, the first or the second?",https://www.youtube.com/shorts/0NZTweb1uc0,https://www.youtube.com/watch?v=0NZTweb1uc0,shorts,shorts,shorts,,,,74000,관계/윤리,https://i.ytimg.com/vi/0NZTweb1uc0/oardefault.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLDcVz_Bxq7K1EFqj_sOaPES_p-GAg&usqp=CCk
7,E-So6aCZ0RQ,근데 강아지 키운 적 있음,But have you ever raised a dog?,https://www.youtube.com/shorts/E-So6aCZ0RQ,https://www.youtube.com/watch?v=E-So6aCZ0RQ,shorts,shorts,shorts,,,,16000,기타/엔터테인먼트,https://i.ytimg.com/vi/E-So6aCZ0RQ/oardefault.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLC9Tt_DxyaDBDpXz470GMDcfrrdxg&usqp=CCk
8,7qyXfDMbLzA,아빠보다 비둘기,A Pigeon Over Dad,https://www.youtube.com/shorts/7qyXfDMbLzA,https://www.youtube.com/watch?v=7qyXfDMbLzA,shorts,shorts,shorts,,,,59000,서사/상담,https://i.ytimg.com/vi/7qyXfDMbLzA/oardefault.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLAyfLliJXjL1bwG77FxNcf3Qek1gA&usqp=CCk
9,asZDs640iBc,멍냥이,Spacing-out cat,https://www.youtube.com/shorts/asZDs640iBc,https://www.youtube.com/watch?v=asZDs640iBc,shorts,shorts,shorts,,,,118000,기타/엔터테인먼트,https://i.ytimg.com/vi/asZDs640iBc/oardefault.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLCJnuQToaTrn4rjo3-IEeu-H0eHrQ&usqp=CCk
10,dYm2SkaCli0,고양이는 싫다던 엄마,"My Mom, who said she hated cats",https://www.youtube.com/shorts/dYm2SkaCli0,https://www.youtube.com/watch?v=dYm2SkaCli0,shorts,shorts,shorts,,,,65000,서사/상담,https://i.ytimg.com/vi/dYm2SkaCli0/oardefault.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLDPru__FXo6216fQX2eSjWy3qSnhQ&usqp=CCk
11,uKk3aKxD0Xs,먹이퍼즐!!,Food Puzzles!!,https://www.youtube.com/shorts/uKk3aKxD0Xs,https://www.youtube.com/watch?v=uKk3aKxD0Xs,shorts,shorts,shorts,,,,46000,기타/엔터테인먼트,https://i.ytimg.com/vi/uKk3aKxD0Xs/oardefault.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLAGUgNl8ok2c_ojDCS_xm4g1zNgkQ&usqp=CCk
12,J_nKd6Ek7M0,수염도 ㄱㅇㅇ,Even their whiskers are cute,https://www.youtube.com/shorts/J_nKd6Ek7M0,https://www.youtube.com/watch?v=J_nKd6Ek7M0,shorts,shorts,shorts,,,,68000,기타/엔터테인먼트,https://i.ytimg.com/vi/J_nKd6Ek7M0/oardefault.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLDhHvjq73SFz7TsU4aDNQ_paS0QOg&usqp=CCk
13,GbynZdE05IQ,사룟값은 해라,Earn Your Keep,https://www.youtube.com/shorts/GbynZdE05IQ,https://www.youtube.com/watch?v=GbynZdE05IQ,shorts,shorts,shorts,,,,31000,기타/엔터테인먼트,https://i.ytimg.com/vi/GbynZdE05IQ/oardefault.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLBuvCyIsplhCAbYY4jKdKBlnsLc3A&usqp=CCk
14,ulge3rLUG_8,호랑이도 박스 좋아함,Even Tigers Love Boxes,https://www.youtube.com/shorts/ulge3rLUG_8,https://www.youtube.com/watch?v=ulge3rLUG_8,shorts,shorts,shorts,,,,32000,기타/엔터테인먼트,https://i.ytimg.com/vi/ulge3rLUG_8/oardefault.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLD_ri8GycneXnoHXTMUNYSWCyP_NA&usqp=CCk
15,XbtlQ_5EHPI,민음사 마케터는 다르네,Minumsa marketers are just built different,https://www.youtube.com/shorts/XbtlQ_5EHPI,https://www.youtube.com/watch?v=XbtlQ_5EHPI,shorts,shorts,shorts,,,,33000,기타/엔터테인먼트,https://i.ytimg.com/vi/XbtlQ_5EHPI/oardefault.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLAkBmbEESnCjkzHmigUBvBLMrZVdw&usqp=CCk
16,vK3w3HnWMiA,또 이러신다.. 약 드세요,Doing it again... please take your meds,https://www.youtube.com/shorts/vK3w3HnWMiA,https://www.youtube.com/watch?v=vK3w3HnWMiA,shorts,shorts,shorts,,,,213000,기타/엔터테인먼트,https://i.ytimg.com/vi/vK3w3HnWMiA/oardefault.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLBjhdO4gWPKFEq_nl5nlkdu7UKdSA&usqp=CCk
17,9cvrBpyazv4,고양이가 서열 1위인 이유,The reason cats are number one in the hierarchy,https://www.youtube.com/shorts/9cvrBpyazv4,https://www.youtube.com/watch?v=9cvrBpyazv4,shorts,shorts,shorts,,,,35000,기타/엔터테인먼트,https://i.ytimg.com/vi/9cvrBpyazv4/oardefault.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLDB-c86jJJjnG6z1pfxRC5Z6MRA7A&usqp=CCk
